PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3,male,27.4,0,0,0,S
2,1,1,female,36.1,0,0,81.76,S
3,0,3,female,31.4,1,0,38.22,C
4,0,2,male,33.1,0,0,53.16,Q
5,0,3,male,25.8,2,0,0,S
6,0,3,female,8.7,0,0,0,Q
7,0,3,male,16.8,1,0,27.04,Q
8,0,2,male,21.4,1,0,12.24,Q
9,0,3,male,17.2,1,0,0,C
10,0,2,male,36.1,1,0,66.43,S
11,1,3,female,32.8,1,0,20.58,S
12,1,3,female,0.5,0,0,64.49,C
13,0,1,male,33.8,0,0,59.78,Q
14,0,3,male,25.1,1,0,3.07,S
15,0,2,male,0.5,1,0,34.22,S
16,0,3,male,36.1,0,0,0,C
17,1,1,male,16.8,0,0,66.51,Q
18,1,2,male,41.9,0,0,31.83,C
19,0,3,male,25.3,0,0,52.41,S
20,1,3,female,11.2,0,1,29.7,Q
21,1,1,female,47.6,0,0,83.35,S
22,0,1,male,33.4,0,0,74.08,C
23,1,3,female,28.7,0,0,34.61,S
24,1,2,female,31.1,0,0,14.96,C
25,0,2,male,28.1,0,0,32.99,Q
26,0,3,male,1.9,0,0,25.91,S
27,0,3,male,36.1,0,0,31.95,C
28,0,1,female,27.7,0,0,114.86,S
29,1,3,female,34.6,2,0,25.87,S
30,1,2,male,13.7,1,0,8.07,S
31,0,1,male,25.4,0,1,66.94,C
32,0,1,male,13.8,0,2,92.87,C
33,1,2,female,11.4,0,0,38.18,C
34,0,3,male,36.7,0,2,18.15,C
35,0,2,male,11.8,0,3,29.48,S
36,0,3,female,34.0,1,0,8.11,C
37,1,1,female,12.4,0,0,60.53,Q
38,0,2,male,40.3,0,0,31.5,C
39,0,2,female,14.0,0,0,13.26,S
40,0,3,female,21.1,0,0,6.39,C
41,0,1,male,23.5,0,1,63.8,S
42,0,3,male,53.2,1,1,0,C
43,1,3,female,37.0,1,0,0,S
44,1,3,female,32.4,0,0,48.28,C
45,1,3,female,14.8,2,0,47.24,S
46,1,3,female,34.4,2,0,8.31,Q
47,0,3,female,26.4,0,0,0,Q
48,0,1,male,29.8,2,0,78.88,S
49,0,3,male,24.5,0,0,17.74,Q
50,1,1,female,9.3,0,0,78.67,S
51,0,2,female,14.7,0,0,0,S
52,0,2,male,11.3,0,0,31.23,Q
53,0,3,male,21.8,0,0,0,C
54,0,3,female,29.5,0,0,25.16,Q
55,1,3,female,11.0,0,0,26.44,Q
56,1,1,male,51.7,1,1,55.21,C
57,0,3,female,38.1,1,0,16.7,Q
58,1,3,female,56.1,0,0,0,S
59,0,3,female,46.4,0,0,0,C
60,1,2,female,20.2,0,0,8.54,Q
61,0,3,male,34.6,1,0,23.08,C
62,0,2,female,19.8,0,2,26.87,S
63,1,1,female,0.5,0,0,86.89,Q
64,0,3,male,16.9,0,0,13.18,S
65,0,2,male,44.9,3,0,0,Q
66,0,3,male,23.3,0,0,3.56,Q
67,0,2,female,29.0,1,1,0.52,Q
68,1,3,male,41.0,0,1,11.99,S
69,1,1,male,30.9,0,0,83.85,S
